,2a,2b,2c,3a,3b,3c,4a,4b,5a,5b,5c,7a,7b,7c
K02320,281,369,504,610,564,746,689,772,513,450,773,346,267,697
K25392,5885,5886,8683,10224,7842,13282,12676,12762,7947,6173,11593,10124,10355,15499
K20093,3875,4387,6161,6431,5184,7492,12244,11101,5255,4888,8716,6743,6343,11270
K21893,192,334,410,412,440,508,1092,986,428,434,732,576,418,1162
K22913,588,740,1110,1094,1053,1401,1945,1722,884,899,1529,916,821,1451
K17732,4357,6449,8470,11349,9251,12758,16127,15176,8358,8982,12729,9060,8668,12512
K02935,90,146,180,209,221,234,360,316,181,259,306,150,106,249
K15305,102,152,208,176,209,296,262,240,202,176,255,233,136,363
K16302,512,514,742,963,733,1050,1891,1676,909,947,1618,728,734,1288
K08875,866,1058,1656,1799,1468,1769,2741,2486,1367,1316,2279,1693,1733,2474
K09490,1597,3843,5821,7631,5682,8470,14668,12512,9055,8923,7898,11710,13439,16015
K10398,1359,1886,2649,2886,2051,3329,5343,5183,2509,2281,3719,3553,3424,5179
K12837,230,377,454,581,413,585,648,608,380,368,613,362,388,531
K11594,516,691,768,977,928,1187,1545,1354,685,748,1206,713,712,1194
K08770,5622,8391,11867,14445,9730,15124,21407,19691,8930,10848,18203,14173,12542,16319
K21797,1872,2287,3068,3461,2970,4020,5996,5833,2818,2791,4971,3767,3634,5401
K01738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K01262,128,130,176,160,212,232,464,453,225,253,414,232,165,506
K14689,1044,1197,1521,1973,1471,1967,3306,2850,1381,1356,2518,1607,1744,2733
K15119,330,428,596,604,614,784,1240,1093,573,706,1031,577,496,1086
K08793,4143,4928,7265,8039,6386,8607,12647,12291,5465,5717,9912,8130,8166,11934
K10799,449,555,661,744,693,1217,922,884,840,581,1070,280,332,590
K02932,14381,21916,30177,34121,26195,33896,43683,38053,21550,24516,34963,20688,22071,28940
K02147,4579,5152,7077,9086,7333,10480,11378,11544,6334,5943,10063,5957,6897,9193
K08592,129,141,180,174,182,247,391,372,160,189,285,126,177,226
K08824,2473,3361,4621,5386,3923,5872,7088,6794,3725,3589,6220,4612,4480,6666
K01551,2255,2565,3851,4253,3771,4997,6312,5932,2657,3139,4866,3168,3266,4750
K02876,333,474,640,758,645,876,1819,1755,669,769,1378,654,671,1060
K02985,2282,3674,4703,5982,4547,5593,7739,7363,3725,3935,6645,3667,3999,5549
K08960,271,365,534,563,469,621,674,659,425,369,644,436,427,697
K05194,1102,1228,1587,1950,1673,1830,3852,3377,1555,1553,2717,1893,2080,3466
K01285,1557,1720,2603,3573,2904,3459,6202,5580,2573,2770,4364,2574,2685,3921
K01931,68,213,281,278,192,255,573,442,288,313,298,373,347,428
K10738,155,208,304,253,245,395,513,486,285,245,399,261,284,434
K05692,4,7,14,13,16,24,16,36,15,10,36,12,16,23
K09613,759,1074,1515,1745,1505,1857,2635,2826,1301,1440,2060,1589,1612,2263
K02938,10988,16500,22673,26489,20233,26118,34872,31798,17368,19565,28912,16205,16827,24584
K00079,2485,3110,4423,5839,5384,6645,8524,8672,3757,4901,7705,3583,4132,5889
K02924,570,1972,2427,2800,1930,2329,3512,3458,1622,1703,2768,1453,1491,2315
K00698,453,581,772,986,753,917,1447,1095,516,586,1092,635,574,1091
K06047,2259,2690,3518,3705,3086,4264,5791,5558,3043,2522,5002,3181,3076,5608
K00594,280,367,478,457,462,573,724,749,342,371,525,397,311,713
K14844,2798,3364,4727,4885,4158,5849,7331,7360,4040,3726,6586,4628,4603,7165
K16761,2303,2650,3533,4120,3707,4801,4617,4055,2298,2434,4136,1741,1530,3527
K22746,99,151,218,195,177,261,338,339,108,205,263,129,121,261
K07152,600,843,1017,1462,993,1573,1353,1318,848,831,1545,615,658,917
K10742,257,351,423,616,429,670,703,676,361,428,655,214,134,369
K09272,570,715,928,933,828,1137,1331,1285,582,631,1178,772,660,1212
K02732,1850,3024,4179,5226,3978,5041,6525,6328,3186,3615,5090,3421,3542,4965
K01201,245,272,462,443,437,515,901,752,401,372,647,304,342,673
K09497,8785,16046,20912,25951,17995,26946,35609,31746,17626,18987,27251,18832,16923,23406
